time,pressure (Pa),loading (g/g)
0 days 00:06:20,0.0034061066202181454,0.04304573972818686
0 days 00:06:25,0.003299510877778867,0.04300138757524916
0 days 00:06:30,0.003377860228137259,0.042938027356766516
0 days 00:06:35,0.003347427133769417,0.04290001122567706
0 days 00:06:40,0.0033753029637942017,0.042842987029042656
0 days 00:06:45,0.003380417492480316,0.04279229885425672
0 days 00:06:50,0.0034267984111201032,0.04274161067947056
0 days 00:06:55,0.003304506772249949,0.04269092250468462
0 days 00:07:00,0.003380417492480316,0.04264023432989846
0 days 00:07:05,0.0035321582199022146,0.04258954615511252
0 days 00:07:10,0.003380417492480316,0.04255153002402284
0 days 00:07:15,0.0035161501327360552,0.042488169805540425
0 days 00:07:20,0.003385539771111332,0.04245015367445074
0 days 00:07:25,0.003380417492480316,0.04239946549966481
0 days 00:07:30,0.0033753029637942017,0.04234877732487864
0 days 00:07:35,0.0033296190242609333,0.042298089150092706
0 days 00:07:40,0.003424253161993518,0.04226007301900303
0 days 00:07:45,0.0033574639372455314,0.042215720866065336
0 days 00:07:50,0.003390685358338201,0.04216503269127917
0 days 00:07:55,0.003380417492480316,0.04213335258203796
0 days 00:08:00,0.0034294418639539428,0.04207632838540356
0 days 00:08:05,0.003362559143790193,0.042038312254314106
0 days 00:08:10,0.0033906698114305545,0.04199396010137618
0 days 00:08:15,0.003500214595812452,0.04195594397028673
0 days 00:08:20,0.0034423997037688896,0.041917927839197275
0 days 00:08:25,0.0033600057602380645,0.04186723966441112
0 days 00:08:30,0.0035268141093506367,0.04182922353332166
0 days 00:08:35,0.003380417492480316,0.04179120740223199
0 days 00:08:40,0.003468559858963036,0.041740519227446045
0 days 00:08:45,0.0034112678250800285,0.04170250309635637
0 days 00:08:50,0.003463311971954461,0.041664486965266916
0 days 00:08:55,0.003424637837208856,0.0416328068560257
0 days 00:09:00,0.0035164766133185255,0.041582118681239545
0 days 00:09:05,0.0034267984111201032,0.04155043857199833
0 days 00:09:10,0.003339904868022075,0.041506086419060416
0 days 00:09:15,0.00344767913504157,0.0414744063098192
0 days 00:09:20,0.0033447817192468793,0.04143639017872975
0 days 00:09:25,0.0033245813530353445,0.041411046091336556
0 days 00:09:30,0.003304506772249949,0.0413730299602471
0 days 00:09:35,0.0033245813530353445,0.04133501382915765
0 days 00:09:40,0.0035268141093506367,0.04129699769806797
0 days 00:09:45,0.0033296190242609333,0.04125898156697852
0 days 00:09:50,0.003380417492480316,0.04123363747958555
0 days 00:09:55,0.0034790795010903233,0.04119562134849587
0 days 00:10:00,0.0034949188155738923,0.0411702772611029
0 days 00:10:05,0.003468559858963036,0.04113226113001345
0 days 00:10:10,0.003500214595812452,0.04109424499892377
0 days 00:10:15,0.0035055184006429255,0.0410689009115308
0 days 00:10:20,0.003463311971954461,0.041030884780441125
0 days 00:10:25,0.0033220739445589155,0.04100554069304816
0 days 00:10:30,0.0034268337644244593,0.04097386058380695
0 days 00:10:35,0.003442415487868729,0.040942180474565736
0 days 00:10:40,0.0033753029637942017,0.04091683638717254
0 days 00:10:45,0.0034790795010903233,0.04087882025608309
0 days 00:10:50,0.003421613708671507,0.040840804124993635
0 days 00:10:55,0.0034267984111201032,0.04081546003760044
0 days 00:11:00,0.003468559858963036,0.04079011595020748
