ind,MOF,UCVOL,RHO,PLD,LCD,SA,PV,Vf,KH_H2O,Hst_H2O,M_D4,V_D4
412,ROQVIE_clean,32684.6,0.9,7.33,8.2,1779.26,0.75,0.67,2.82e-06,16.06,0.30269,0.272421
413,RUGKEL_clean,106809.0,0.74,7.53,9.03,3175.25,1.04,0.77,3.1e-06,16.47,0.3211,0.237614
414,SACDOR_clean,33923.9,1.24,7.64,8.11,1260.78,0.54,0.66,5.51e-06,26.19,0.10447,0.12954279999999999
415,SACDUX_clean,34251.2,1.23,7.59,8.21,1289.91,0.55,0.67,2.74e-06,19.5,0.124,0.15252
416,SADMUH_SL,25491.0,0.99,7.35,7.87,1554.96,0.64,0.64,4.6e-06,23.51,0.05619,0.0556281
417,SAHYIK_stripped,16913.2,0.6,7.84,14.95,3581.25,1.33,0.81,3.21e-06,15.13,0.70339,0.42203399999999996
418,SAHYOQ_stripped,138749.0,0.59,7.97,15.1,3684.8,1.37,0.81,1.91e-06,9.66,0.61739,0.3642601
419,SAHYOQ02_stripped,138895.0,0.59,7.95,15.11,3700.68,1.37,0.81,2.01e-06,10.69,0.6002799999999999,0.35416519999999996
420,SAHYOQ03_stripped,138285.0,0.59,7.95,15.08,3646.11,1.36,0.81,2e-06,11.14,0.56908,0.3357572
421,SAHYOQ04_stripped,138796.0,0.59,7.95,15.09,3665.47,1.37,0.81,1.91e-06,10.53,0.61463,0.3626317
422,SAHYOQ05_stripped,138796.0,0.59,7.92,15.11,3694.64,1.37,0.81,2.03e-06,10.66,0.6001000000000001,0.354059
423,SETQUF_SL,28427.5,1.0,7.23,7.76,1515.05,0.63,0.63,4.56e-06,23.19,0.048670000000000005,0.048670000000000005
424,SETRAM_clean,25310.6,0.99,7.61,8.06,1610.28,0.64,0.64,4.75e-06,20.09,0.07734999999999999,0.07657649999999999
425,SOHMIM_clean,34017.5,1.24,7.42,8.14,1276.15,0.54,0.66,1.77e-06,14.04,0.10543000000000001,0.13073320000000002
426,SOHMUY_clean,34537.2,1.22,7.56,8.21,1326.47,0.55,0.67,2.66e-06,19.37,0.19538999999999998,0.23837579999999997
427,SOHNEJ_clean,35484.5,1.18,7.97,8.72,1370.61,0.57,0.68,2.03e-06,16.5,0.16218000000000002,0.1913724
428,SOHNIN_clean,34663.6,1.21,7.92,8.46,1324.96,0.55,0.67,2.33e-06,17.8,0.1519,0.183799
429,SOMCON_clean,34165.0,1.23,7.39,8.11,1290.82,0.54,0.67,2.01e-06,15.99,0.07815000000000001,0.09612450000000002
430,SOPLEQ_clean,30988.9,0.73,7.51,8.79,2755.87,0.95,0.7,5.71e-06,20.14,0.31351999999999997,0.22886959999999998
431,SUWQEI_clean,54928.3,0.82,7.58,9.47,1596.39,0.78,0.64,3.33e-06,18.53,0.23853,0.19559459999999998
432,TAKTOR_clean,31989.2,1.18,7.0,7.06,1177.55,0.5,0.59,6.9e-06,20.49,0.01248,0.014726399999999999
433,TAMHUM_clean,20309.5,0.82,7.26,11.16,2229.13,0.87,0.72,9.65e-06,26.36,0.29420999999999997,0.24125219999999997
434,TAYHEJ_stripped,58030.2,1.01,7.84,9.83,817.98,0.5,0.51,8.82e-06,26.92,0.0536,0.054136000000000004
435,TAYHIN_stripped,57027.5,1.03,7.4,9.49,770.5,0.49,0.51,6.88e-06,22.75,0.07574,0.0780122
436,TAYHUZ_stripped,57051.8,1.03,7.81,9.8,791.13,0.49,0.5,5.46e-06,21.44,0.09462000000000001,0.0974586
437,TEDGOA_stripped,26496.5,0.69,7.77,8.49,3289.07,1.09,0.75,3.27e-06,15.53,0.44444,0.3066636
438,TOJLOT_clean,48555.2,0.79,7.47,9.35,1959.73,0.84,0.66,2.83e-06,16.11,0.15449000000000002,0.12204710000000002
439,UBIBUF_clean,76536.2,0.76,7.63,11.65,2879.89,0.97,0.74,3.02e-06,13.96,0.3822,0.290472
440,UBULUA_clean,34384.1,1.22,7.56,8.26,1330.3,0.54,0.67,1.7e-06,13.82,0.14059,0.1715198
441,UCOHUR_clean,34472.2,1.22,7.23,8.17,1320.26,0.55,0.67,2.31e-06,18.35,0.10252,0.1250744
442,UCOJAZ_clean,33713.5,1.25,7.35,8.09,1254.66,0.53,0.66,1.73e-06,14.14,0.13091,0.1636375
443,UCOJED_clean,34242.4,1.23,7.49,8.0,1277.98,0.54,0.66,2.3e-06,17.98,0.11722,0.1441806
444,UCOJIH_clean,34433.0,1.22,7.11,8.12,1320.56,0.55,0.67,2.21e-06,16.88,0.14661000000000002,0.17886420000000003
445,UNECUN_clean,60498.6,1.18,7.01,8.22,1459.88,0.55,0.65,4.04e-06,18.28,0.07623,0.0899514
446,URENEM_clean,24867.2,0.75,7.85,8.54,2517.05,0.97,0.72,4.26e-06,17.53,0.39712000000000003,0.29784
447,UZAROE_clean,24465.3,0.92,7.16,19.55,1529.36,0.72,0.66,5.11e-06,20.3,0.30943,0.2846756
448,VAZTOG_clean,34675.9,0.59,7.94,15.1,3649.35,1.37,0.81,2.52e-06,13.83,0.7257,0.42816299999999996
449,VAZTUM_clean,138285.0,0.59,7.94,15.08,3649.1,1.36,0.81,1.7e-06,8.18,0.5649,0.33329099999999995
450,VEJHID_clean,91380.4,0.65,7.88,17.67,3191.61,1.23,0.79,4.05e-06,13.34,0.60726,0.39471900000000004
451,VIZSUU_clean,47406.1,0.75,7.42,10.03,2831.29,0.98,0.73,2.82e-06,16.11,0.39431,0.2957325
452,VUKRUQ_clean,34518.5,0.85,7.41,8.26,1869.27,0.76,0.65,3.65e-06,16.19,0.36266000000000004,0.308261
453,VUSKAW_clean,34397.6,0.59,7.97,14.99,3655.18,1.36,0.81,2.73e-06,14.2,0.62241,0.3672219
454,WAHNOL_clean,76097.8,0.5,7.17,16.16,3978.57,1.55,0.77,4.09e-06,13.83,0.55071,0.275355
455,WAJDUJ_clean,76344.8,0.5,7.04,16.13,4037.85,1.55,0.77,3.49e-06,11.46,0.51897,0.259485
456,WAQTEQ_clean,63018.5,0.79,7.0,11.94,2477.05,0.93,0.74,3.1e-06,15.26,0.35102999999999995,0.2773137
457,WIDQEG_clean,24259.9,1.01,7.12,7.6,1489.57,0.62,0.63,5.18e-06,21.43,0.020059999999999998,0.020260599999999997
458,WIRMOB_clean,70886.0,0.92,7.08,8.1,1118.59,0.64,0.59,6.06e-06,18.51,0.06733,0.0619436
459,WITFIQ_stripped,35367.8,1.04,7.15,7.78,974.66,0.54,0.56,3.04e-06,17.58,0.14719,0.15307759999999998
460,WOMFIO_charged,21450.6,1.27,7.45,7.57,888.62,0.44,0.55,8.13e-06,28.99,0.054439999999999995,0.0691388
461,WOZWEP_clean,59005.0,1.56,7.16,9.14,497.13,0.31,0.48,4.47e-06,23.94,0.09273999999999999,0.14467439999999998
462,XAMHEA_manual,40612.0,0.73,7.4,9.06,2753.22,0.98,0.72,4.14e-06,19.14,0.19891999999999999,0.1452116
463,XAPCOH_clean,34282.9,1.23,7.45,8.14,1280.49,0.54,0.67,2.78e-06,19.72,0.11231999999999999,0.1381536
464,XAPCUN_clean,34757.1,1.21,7.71,8.24,1321.96,0.56,0.67,3.15e-06,22.96,0.11977,0.1449217
465,XAPDAU_clean,34694.9,1.21,7.6,8.2,1310.25,0.55,0.67,1.6e-06,12.66,0.13874,0.1678754
466,XAPDEY_clean,35036.8,1.2,7.85,8.44,1338.47,0.56,0.67,2.35e-06,18.05,0.15966,0.19159199999999998
467,XARCEB_stripped,39022.5,1.32,7.66,7.94,778.68,0.38,0.5,7.43e-06,27.86,0.06497,0.0857604
468,XEXLET_clean,60934.8,1.24,7.4,8.02,1021.63,0.45,0.56,2.29e-06,18.42,0.13143000000000002,0.1629732
469,XOJPIW_charged,61255.8,1.11,7.92,8.63,761.17,0.52,0.58,2.9e-06,18.56,0.10889,0.12086790000000001
470,XOTSIK_clean,39684.1,0.96,7.37,8.84,1557.7,0.64,0.62,9.86e-06,20.09,0.13072999999999999,0.12550079999999997
471,XUMMOJ_clean,57475.4,1.08,7.86,8.38,995.6,0.5,0.54,2.41e-06,17.51,0.18631,0.20121480000000003
472,XUMMUP_clean,57943.8,1.01,7.42,8.43,1042.48,0.54,0.55,2.94e-06,20.89,0.1512,0.15271200000000001
473,XUPGOG_clean,33579.8,0.61,7.89,14.89,3533.81,1.32,0.8,2.93e-06,15.28,0.68499,0.4178439
474,YIXYUB_clean,51248.7,1.65,7.37,8.0,518.95,0.28,0.47,2e-06,20.89,0.026,0.042899999999999994
475,YIXZAI_stripped,50872.9,1.66,7.27,7.93,504.41,0.28,0.46,1.23e-06,16.72,0.03486,0.0578676
476,YIXZEM_clean,54347.0,1.55,7.62,8.11,554.04,0.31,0.48,1.6e-06,19.28,0.10041,0.1556355
477,YOCDUR_clean,85787.2,0.66,7.2,9.69,3373.43,1.15,0.76,5.63e-06,16.29,0.40978,0.2704548
478,YODJEI_stripped,28378.2,0.78,7.68,12.08,2667.03,0.98,0.76,4.34e-06,21.78,0.45736,0.3567408
479,YOTHEW_clean,68960.1,0.71,7.61,12.68,2510.1,1.02,0.73,2.8e-06,13.35,0.40164999999999995,0.28517149999999997
480,YOYZUJ_clean,24059.0,0.78,7.18,17.07,2074.03,0.89,0.69,3.97e-06,17.83,0.30466000000000004,0.23763480000000003
481,YUNXAI_clean,89746.5,0.82,7.11,9.14,2189.02,0.82,0.67,5.9e-06,21.16,0.06684999999999999,0.05481699999999999
482,ZARLIP_clean,62044.2,0.81,7.67,9.1,2160.12,0.83,0.67,3.89e-06,18.04,0.21556999999999998,0.1746117
483,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,57759.1,0.63,8.11,14.71,3330.73,1.3,0.82,1.69e-06,9.84,0.68379,0.4307877
484,AMUWIP_charged,66346.2,0.77,8.79,9.99,3019.88,0.92,0.71,5.25e-06,22.21,0.22186,0.17083220000000002
485,AWEVIJ_clean,62107.6,0.75,8.66,10.62,1939.43,0.86,0.64,5.88e-06,21.7,0.26404,0.19802999999999998
486,BEPNIV_stripped,32597.6,1.11,8.04,8.14,706.35,0.49,0.55,4.27e-06,23.37,0.13340000000000002,0.14807400000000004
487,BEWVOQ_clean,27472.8,0.72,8.29,10.24,3241.3,1.08,0.78,2.74e-06,13.76,0.5296900000000001,0.38137680000000007
488,BIMDOR_stripped,47160.0,1.62,8.36,9.55,538.11,0.31,0.5,1.58e-06,16.71,0.05817,0.09423540000000001
489,BINCUY_manual,88109.2,0.58,8.63,13.31,3563.4,1.24,0.73,3.08e-06,13.57,0.34673000000000004,0.20110340000000002
490,BINDAF_manual,85637.8,0.6,8.5,13.14,3440.1,1.2,0.72,2.95e-06,13.21,0.39526,0.23715599999999998
491,BUVYIB_clean,42600.0,0.7,8.56,10.89,2629.78,0.99,0.7,4.13e-06,15.49,0.25485,0.178395
492,BUVYIB01_clean,43789.9,0.68,8.63,10.83,2931.89,1.03,0.7,4.19e-06,16.2,0.25918,0.17624240000000002
493,cm303749m_si_001_clean,45225.1,0.56,8.79,11.63,3896.75,1.37,0.76,3.23e-06,12.83,0.48563999999999996,0.2719584
494,COXHED_clean,29514.5,0.69,8.38,8.71,3293.05,1.14,0.79,1.5e-06,10.4,0.67173,0.4634937
